-1757,4103,-2369,-68,342,108,-1265,10168,3011
-1361,4585,-2546,-90,332,124,-1513,9999,3166
-1085,5167,-2738,-119,317,130,-1513,9999,3166
-931,5875,-2958,-162,298,119,-1513,9999,3166
-820,6525,-3044,-215,268,99,-3540,8103,2711
-867,7093,-2845,-268,232,71,-3540,8103,2711
-1080,7498,-2605,-311,183,35,-3540,8103,2711
-1333,7923,-2466,-339,137,3,-5567,3891,335
-1457,8359,-2449,-356,112,-22,-5821,3391,-787
-1443,8755,-2583,-366,100,-36,-6074,3071,-1133
-1281,9128,-2812,-357,94,-49,-5821,2881,-1714
-914,9640,-3044,-328,99,-51,-5567,3279,-1583
-511,10353,-3445,-290,116,-52,-4807,3494,-1552
74,11250,-3796,-246,138,-52,-4047,3878,-1360
798,12359,-4212,-199,162,-50,-4047,3878,-1360
1414,13626,-4777,-159,180,-54,-2780,5541,-1506
1513,14683,-5205,-145,197,-63,-2527,5960,-1902
1339,15351,-4986,-159,212,-83,-2527,5960,-1902
703,15937,-5111,-170,207,-104,-2780,6173,-2936
91,15835,-4511,-173,198,-114,-2780,6173,-2936
-558,15246,-4283,-151,189,-122,-2527,5782,-3439
-333,14498,-4375,-86,171,-130,-2527,5782,-3439
-58,13681,-4373,-21,139,-133,-2527,5782,-3439
-123,12681,-4593,26,131,-134,260,4101,-3736
-115,11582,-4800,98,114,-136,1527,3435,-3778
-478,10009,-4419,144,93,-128,2287,2469,-3504
-869,8363,-3865,165,92,-102,2287,2469,-3504
-904,7144,-3513,176,123,-74,2287,2469,-3504
-716,6484,-3671,205,132,-62,2287,2469,-3504
-1123,6798,-4015,230,84,-65,2287,2469,-3504
-1503,7728,-3990,219,31,-68,2287,2469,-3504
-1958,8710,-3847,175,13,-83,2794,95,-2227
-2414,9523,-4130,95,14,-106,2794,95,-2227
-2736,10089,-4320,-39,-1,-116,-753,-261,-3088
-2859,10171,-4300,-190,-35,-127,-753,-261,-3088
-2953,9875,-4111,-306,-56,-133,-753,-261,-3088
-3013,9521,-4011,-387,-65,-134,-753,-261,-3088
-2869,9404,-3892,-452,-51,-121,-753,-261,-3088
-2285,9341,-4099,-505,-10,-99,-753,-261,-3088
-1457,9009,-4511,-553,46,-79,-9115,1219,-2195
-455,8298,-5388,-585,108,-72,-9622,3084,-1762
